timestamp,household_id,num_occupants,house_size_sqft,num_appliances,outside_temp_celsius,heating_type,cooling_type,energy_consumption_kwh,monthly_income,has_solar_panels,smart_meter_installed,weekday,is_weekend,water_heater_type,washing_machine_usage_per_week,internet_connected_devices,avg_daily_usage_hours,notes,occupant_names,manual_override
2021-01-31,1787,,2922.0,16,,Gas,None,22.73,163860.0,0,1,Sunday,1,electric,5,5,16.8,unknown,,N
30/12/2021,1263,4.0,571.0,24,24.9,Gas,None,10.47,157142.0,0,1,Thursday,0,gas,10,17,9.9,,"John, Mary",
2020-05-10,1057,,573.0,10,3.7,Electrc,Fan,57.88,192595.0,1,1,Sunday,1,gas,0,7,23.6,,Unknown,
2021-07-18,1301,,2420.0,5,4.6,Electrc,None,17.64,,1,1,Sunday,1,gas,10,17,17.8, ,,
04/02/2021,1030,,1864.0,7,33.1,None,None,9.99,78503.0,0,0,Thursday,0,gas,9,1,5.2,peak hours,Unknown,
2020-12-31,1497,1.0,2700.0,11,18.0,Electrc,ac,32.97,154381.0,0,1,Thursday,0,solar,3,2,14.8,peak hours,Unknown,
2022-09-21,1248,3.0,2643.0,15,10.3,Electrc,ac,-3.99,57891.0,0,1,Wednesday,0,solar,7,13,8.2,unknown,,
2020-11-10,1604,5.0,2992.0,16,13.9,None,ac,31.21,190341.0,0,0,Tuesday,0,electric,1,19,18.7,normal usage,N/A,Y
27/06/2022,1776,3.0,3681.0,13,17.9,Gas,ac,42.55,63719.0,0,1,Monday,0,electric,9,3,6.2,,Kumar,
2018-05-02,1270,4.0,1981.0,5,13.1,Electrc,Fan,21.63,,1,1,Wednesday,0,solar,12,12,11.5,peak hours,"John, Mary",Yes
2019-04-12,1605,3.0,3375.0,8,28.5,Gas,ac,37.94,47119.0,1,0,Friday,0,gas,10,10,11.0,,Kumar,Yes
2021-05-23,1665,1.0,3622.0,6,16.0,Gas,ac,37.2,,0,1,Sunday,1,gas,1,13,21.9,Check meter,Kumar,No
27/11/2018,1393,5.0,2924.0,6,21.6,Electrc,ac,37.59,117822.0,0,1,Tuesday,0,gas,4,7,21.6,Check meter,"John, Mary",
2022-01-22,1796,5.0,1264.0,21,,Gas,None,23.95,56958.0,0,1,Saturday,1,solar,0,18,20.6,,Kumar,
2018-03-29,1501,6.0,1596.0,6,14.6,Gas,Fan,30.57,171611.0,1,0,Thursday,0,solar,7,5,19.2,,Ali;Sara,N
28/10/2021,1591,3.0,711.0,8,,Electrc,Fan,32.78,154951.0,1,0,Thursday,0,electric,9,6,23.1, ,N/A,Yes
2021-01-28,1803,4.0,1223.0,15,24.1,Electrc,Fan,31.1,177126.0,1,1,Thursday,0,electric,3,14,8.6,Check meter,N/A,No
2020-05-21,1083,1.0,3739.0,23,-1.3,Electrc,ac,27.53,96604.0,1,0,Thursday,0,electric,5,4,20.6,Check meter,Kumar,Y
2022-08-15,1364,2.0,3322.0,17,14.8,Gas,ac,57.09,134675.0,1,0,Monday,0,solar,12,7,17.8,,Kumar,No
2018-05-11,1885,5.0,2878.0,22,35.5,None,Fan,34.87,143793.0,1,1,Friday,0,solar,5,13,18.3,unknown,Ali;Sara,
2022-08-13,1548,3.0,2265.0,23,10.5,Electrc,Fan,36.23,,1,1,Saturday,1,solar,13,13,13.1,,"John, Mary",Y
2021-08-25,1341,6.0,1250.0,19,19.5,Electrc,Fan,11.64,72799.0,1,0,Wednesday,0,gas,3,6,17.4,Check meter,Unknown,
09/02/2020,1838,,2017.0,16,27.5,Gas,ac,64.51,74709.0,1,1,Sunday,1,electric,4,17,9.5, ,Unknown,
10/12/2018,1406,4.0,3714.0,15,3.9,Electrc,None,43.2,,0,1,Monday,0,electric,10,7,15.1,normal usage,Unknown,No
2022-02-24,1424,1.0,1968.0,5,11.3,None,Fan,35.01,130583.0,1,1,Thursday,0,electric,5,13,23.4,,"John, Mary",Y
2021-12-08,1743,,3371.0,20,-0.7,None,None,55.81,74448.0,1,0,Wednesday,0,gas,0,17,18.0,,,
2020-03-16,1092,1.0,893.0,17,16.0,Gas,Fan,12.32,,0,1,Monday,0,solar,5,15,17.8,,"John, Mary",N
2019-01-21,1847,6.0,1011.0,10,18.8,Gas,None,13.51,165085.0,0,0,Monday,0,electric,13,11,9.5,unknown,N/A,
30/04/2021,1613,2.0,1185.0,10,21.4,None,None,45.85,74240.0,0,1,Friday,0,electric,6,18,21.0,Check meter,,
